year,co2_concentration
1970,324.557
1971,325.955
1972,329.383
1974,331.550
1976,332.366
1977,333.958
1979,336.856
1980,338.914
1981,340.109
1982,340.857
1983,342.530
1984,344.073
1985,345.538
1986,346.969
1987,348.678
1988,351.158
1989,352.788
1990,354.060
1991,355.398
1992,356.093
1993,356.828
1994,358.329
1995,360.177
1996,361.933
1997,363.038
1998,365.696
1999,367.794
2000,368.965
2001,370.568
2002,372.583
2003,375.141
2004,376.947
2005,378.978
2006,381.150
2007,382.900
2008,385.021
2009,386.497
2010,388.755
2011,390.621
2012,392.649
2013,395.396
2014,397.344
2015,399.649
2016,403.067
2017,405.217
2018,407.611
2019,410.079
2020,412.443
